Country Code,Country Name,Region,IncomeGroup,Year,Imports of goods and services (% of GDP),Exports of goods and services (% of GDP),"Foreign direct investment, net inflows (BoP, current US$)",GDP (current US$),GDP per capita (current US$),Gross savings (% of GDP),"Inflation, consumer prices (annual %)","Total reserves (includes gold, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)",GDP growth (annual %)
ABW,Aruba,Latin America & Caribbean,High income,2000,70.68297047,74.41097525,-127932960.9,1873184358.0,21023.15751,23.7193558,4.044021312,235455000.0,,7.61658911307723
ABW,Aruba,Latin America & Caribbean,High income,2001,69.39617084,70.98674521,-266927374.3,1896648045.0,20913.2995,19.21354934,2.883604303,321360614.52514,,4.19596280335676
ABW,Aruba,Latin America & Caribbean,High income,2002,68.65034169,64.5501139,332513966.5,1962011173.0,21377.09519,12.20330296,3.315246786,374002932.960894,,-0.957771005659552
ABW,Aruba,Latin America & Caribbean,High income,2003,70.07379065,62.72205521,159776536.3,2044134078.0,22050.83093,14.660563,3.656365079,336945700.0,,1.12087912087912
ABW,Aruba,Latin America & Caribbean,High income,2004,67.76511397,64.66798811,-105698324.0,2254748603.0,24104.64618,17.24430129,2.529129469,339224000.0,,7.28102586394262
ABW,Aruba,Latin America & Caribbean,High income,2005,76.98863636,68.08712121,-207798005.9,2359776536.0,24975.67326,-1.673290944,3.397786778,324813400.0,,-0.384927066450572
ABW,Aruba,Latin America & Caribbean,High income,2006,76.45329111,64.60076906,220316139.7,2469832402.0,25833.44562,13.10308622,3.608024388,401389600.0,,1.13890583689242
ABW,Aruba,Latin America & Caribbean,High income,2007,74.90089714,65.05320259,-471005586.6,2677653631.0,27665.42647,2.927185479,5.392567845,455457100.0,,3.09672230042229
ABW,Aruba,Latin America & Caribbean,High income,2008,73.59009629,65.53350364,18882681.56,2843016760.0,29011.55925,15.34486147,8.955987052,691873900.0,,1.83343085625123
ABW,Aruba,Latin America & Caribbean,High income,2009,74.64449792,62.9183986,-10614525.14,2553631285.0,25739.13725,11.16823452,-2.13542872,686970110.0,,-11.6835855200153
ABW,Aruba,Latin America & Caribbean,High income,2010,75.25045537,60.22313297,186759776.5,2453631285.0,24452.92836,4.667577413,2.078140719,708713690.0,,-2.73259596616786
ABW,Aruba,Latin America & Caribbean,High income,2011,84.68869123,69.73739941,488156424.6,2637988827.0,26044.43593,-1.247352817,4.316297422,689775980.0,,3.36677814938685
ABW,Aruba,Latin America & Caribbean,High income,2012,83.55052339,73.1040376,-314692737.4,2615083799.0,25609.95572,5.761589404,0.627471993,768622300.0,,-1.03537532355479
ABW,Aruba,Latin America & Caribbean,High income,2013,85.33688306,76.55130043,226371388.8,2727932961.0,26515.67808,6.830421053,-2.372065243,653170670.0,,6.42981691368789
ABW,Aruba,Latin America & Caribbean,High income,2014,84.60768615,78.26261009,250618095.0,2791061453.0,26942.30798,10.58076313,0.421440919,680351000.0,,-0.0204792135982075
ABW,Aruba,Latin America & Caribbean,High income,2015,72.9826546,72.85067873,-28775856.42,2963128492.0,28421.38649,14.87503897,0.474763597,815800560.0,,3.54362965997541
ABW,Aruba,Latin America & Caribbean,High income,2016,70.41752481,71.82175623,27551267.63,2983798883.0,28451.27374,15.35934808,-0.931195987,922550890.0,,2.11671612265083
ABW,Aruba,Latin America & Caribbean,High income,2017,71.25564589,72.5564589,162463551.5,3092178771.0,29326.70806,14.15457684,-1.028281788,907111452.513966,,5.48237117396357
ABW,Aruba,Latin America & Caribbean,High income,2018,74.63363573,73.79623168,135921173.4,3202234637.0,30220.59452,11.19590639,3.626041414,980247680.0,,5.25785567271588
ABW,Aruba,Latin America & Caribbean,High income,2019,71.98625407,73.02452004,-75226540.68,3368970253.0,31650.76054,15.4069345,4.257462043,982300000.0,,0.635029268285663
ABW,Aruba,Latin America & Caribbean,High income,2020,64.92778084,51.64501528,161066979.1,2610038938.0,24487.86356,5.391215501,,1212578720.0,,-18.5890997764476
ABW,Aruba,Latin America & Caribbean,High income,2021,68.25140674,68.91293232,133545121.2,3126019399.0,29342.10086,14.95797715,,1512960300.0,,17.1725085129983
AFE,Africa Eastern and Southern,,,2000,25.86736317,25.98892221,4315007316.0,283938000000.0,707.0157522,20.22827134,8.601485149,,6.93953642644108,3.35397753939645
AFE,Africa Eastern and Southern,,,2001,27.02183272,27.14685197,12205013827.0,258830000000.0,628.2252416,16.114412,5.840353983,,6.85037572406791,3.65322422774005
AFE,Africa Eastern and Southern,,,2002,28.24629275,28.37285109,6464121933.0,264881000000.0,626.5808526,19.9282899,8.763753664,,6.80353661652446,3.90525026694712
AFE,Africa Eastern and Southern,,,2003,26.73144001,26.11122504,8555149192.0,352674000000.0,812.9736448,20.12039162,7.44970014,,6.7412409260797,3.0960448630498
AFE,Africa Eastern and Southern,,,2004,27.39193519,26.18554671,7979691821.0,438853000000.0,985.563259,21.57600794,5.023420686,,6.53517317460762,5.50731493728993
AFE,Africa Eastern and Southern,,,2005,28.48335289,28.01280954,10333884247.0,512234000000.0,1120.484333,21.99299803,8.558038022,,6.3735025653771,6.11692445270941
AFE,Africa Eastern and Southern,,,2006,29.7046445,29.91768132,7234542920.0,575722000000.0,1226.223569,23.09009011,8.898163802,,6.34759816055424,6.56131823677543
AFE,Africa Eastern and Southern,,,2007,31.97665645,32.28447003,16122284836.0,660827000000.0,1369.855328,22.73591216,8.450774806,,6.28342089359081,6.56877678509855
AFE,Africa Eastern and Southern,,,2008,36.38813655,35.84264626,22483230617.0,708119000000.0,1428.382728,21.70317161,12.56664466,,6.23256052983032,4.30248193382188
